degree,current
0,0.04
10,0.12
20,0.22
30,0.3
40,0.32
45,0.32
50,0.3
60,0.2
70,0.1
80,0.04
90,0.08
100,0.2
110,0.32
120,0.4
130,0.44
135,0.43
140,0.4
150,0.3
160,0.18
170,0.04
180,0.08
