CODE,STATE,CITY,LON,LAT,X,Y,POP,GDP
19123,IA,Mahaska County,-92.636366,41.330797,28.2530684973608,4590.830044314813,22396,565006100
19125,IA,Marion County,-93.093849,41.331455,-10.049384327185981,4593.502000443189,33248,873749000
19127,IA,Marshall County,-92.981452,42.041691,4.860676349759858,4671.746342755744,40962,1009649700
19129,IA,Mills County,-95.619101,41.033703,-224.88511828776973,4578.438803226279,14862,420290000
19131,IA,Mitchell County,-92.784466,43.348564,31.145395559786994,4815.79811225839,10762,276645000
19133,IA,Monona County,-95.956566,42.049432,-241.49346191841167,4694.249813747308,9088,224749200
19135,IA,Monroe County,-92.869642,41.028847,6.4494663179771745,4558.585971351412,8002,206074900
19137,IA,Montgomery County,-95.15779,41.021735,-186.17681205308403,4573.348787629448,10465,245352800
19139,IA,Muscatine County,-91.118699,41.483776,156.11951387887646,4600.657888745188,42913,1094413500
19141,IA,O'Brien County,-95.625624,43.083746,-202.27850838623056,4806.365728369091,14092,431218700
19143,IA,Osceola County,-95.633788,43.378542,-199.53634424871217,4839.194181439141,6211,157174200
19145,IA,Page County,-95.14429,40.73909,-187.98329815982072,4541.821606927239,15660,369837900
19147,IA,Palo Alto County,-94.667296,43.075854,-124.30314831516158,4797.856015509248,9208,240822800
19149,IA,Plymouth County,-96.215864,42.737585,-254.6096466630199,4773.047090073595,24853,695666500
19151,IA,Pocahontas County,-94.678279,42.734033,-128.68399388930004,4759.956228859037,7127,188198000
19153,IA,Polk County,-93.56972,41.684281,-46.90849308817741,4635.624033040022,452369,14155076700
19155,IA,Pottawattamie County,-95.544905,41.340184,-215.26740905459587,4611.8924648976745,93213,2522060900
19157,IA,Poweshiek County,-92.522882,41.684526,40.273052904851674,4629.509932390396,18705,486660800
19159,IA,Ringgold County,-94.244251,40.735334,-111.92509137647808,4534.694601133066,5061,134404600
19161,IA,Sac County,-95.105224,42.387526,-167.3680526788329,4724.738478373789,10101,272633700
19163,IA,Scott County,-90.62229,41.641679,198.3096676364647,4616.334764453495,169994,4996240300
19165,IA,Shelby County,-95.308917,41.679014,-191.85060983627335,4647.621357009308,11992,332117000
19167,IA,Sioux County,-96.177929,43.082854,-247.27990551262627,4811.0802532977805,34509,898230100
19169,IA,Story County,-93.466093,42.037538,-35.309193029220914,4674.216103952115,93586,2394740300
19171,IA,Tama County,-92.529411,42.074848,42.531461196564834,4672.902929382395,17479,462000800
19173,IA,Taylor County,-94.697108,40.737949,-150.18510410886037,4538.261593208959,6213,148001400
19175,IA,Union County,-94.245091,41.02855,-109.28464755421318,4567.286514002469,12575,302081100
19177,IA,Van Buren County,-91.952943,40.754117,81.82822395600105,4523.27748414931,7432,172930500
19179,IA,Wapello County,-92.409482,41.031263,45.175345953710085,4556.345058712329,35315,802231500
19181,IA,Warren County,-93.564366,41.336769,-49.40735980662785,4596.978783097456,47542,1430350300
19183,IA,Washington County,-91.725052,41.329401,104.54305182144307,4586.1062548218915,22017,599487900
19185,IA,Wayne County,-93.332613,40.739983,-34.83187114096968,4529.225085740134,6384,146886900
19187,IA,Webster County,-94.179156,42.434397,-90.63760568864434,4723.045460387797,37295,884561600
19189,IA,Winnebago County,-93.743488,43.378124,-46.339294597388125,4824.940728873668,10614,265577300
19191,IA,Winneshiek County,-91.850788,43.292989,106.47567216983985,4804.788822746924,20884,547392800
19193,IA,Woodbury County,-96.053296,42.39322,-245.41582359870594,4733.316710009048,102530,2422788100
19195,IA,Worth County,-93.248533,43.373491,-6.269029880097893,4821.289272039576,7563,187060400
19197,IA,Wright County,-93.734735,42.733007,-51.40830005696323,4753.210448284846,12936,340423900
20001,KS,Allen County,-95.300945,37.884228,-230.573646233771,4225.597170686184,13081,270395600
20003,KS,Anderson County,-95.292046,38.215114,-226.48285509235168,4262.331576623582,7896,167604100
20005,KS,Atchison County,-95.313397,39.532544,-214.91929226779286,4409.018168330498,16633,360550400
20007,KS,Barber County,-98.685052,37.222906,-538.5626765286202,4184.175772200487,4770,134388200
20009,KS,Barton County,-98.767837,38.481239,-528.0079576464169,4325.425991237615,27399,666837600
20011,KS,Bourbon County,-94.850928,37.8561,-191.16983643808368,4219.012592628868,14812,307843200
20013,KS,Brown County,-95.569905,39.825931,-233.86862950193742,4443.73263077085,9880,223284800
